id,text
dummy,"b""@EdLatimore Use the vets, I'm sure if allowed people that are highly trained could volenter defense just like firef\xe2\x80\xa6 https://t.co/Z6yAeN8oyA"""
dummy,b'@CozmicSmurf @meiiosis @freespeechlover Also to defend property. Including self. But guns can wound or scare off as\xe2\x80\xa6 https://t.co/YeY6HUh6gL'
dummy,b'@CozmicSmurf @DaShanneStokes Bleach does the trick for me'
dummy,b'@CozmicSmurf @DaShanneStokes The Streisand effect. When did we start listening to kids for advice anyways? Have you\xe2\x80\xa6 https://t.co/5eWvxXiaw5'
dummy,b'RT @SpayMsm: Yep.\n\nI stand with #ColtonHaab https://t.co/LvMaVDtOhj'
dummy,b'RT @OwenBenjamin: Of the 27 worst mass shooters in America only one was raised by their biological father. That\xe2\x80\x99s a profound correlation. S\xe2\x80\xa6'
dummy,b'RT @OwenBenjamin: When I drink too much vodka and can\xe2\x80\x99t get a boner I say \xe2\x80\x9cthe Russians influenced my erection.\xe2\x80\x9d'
dummy,"b'Dopamine induced disaster,\nDistancing individuals dignity,\nDetonating inevitable divides.\nMedia\n\n@OwenBenjamin @jordanbpeterson @EdLatimore'"
dummy,b'@EdLatimore Economics 101'
dummy,b'I sincerely hope gun reform is not in our future. More protection at schools yes but enough with this gun reform bullshit @RepMattGaetz'
dummy,"b""@newscientist Bro, war has been around since creation, hell even plants compete for resources. It's wired in. The d\xe2\x80\xa6 https://t.co/lDCw1y7TJx"""
dummy,b'@MayorLevine Nope'
dummy,b'@CozmicSmurf @joerogan Still 3800 more than I can do in a day'
dummy,"b'@CozmicSmurf @KimboDiddleyDoo Not kinder in my experience, most are little shits with no respect. Gun reform is bra\xe2\x80\xa6 https://t.co/utU56q5jE5'"
dummy,b'RT @OwenBenjamin: We\xe2\x80\x99ve had guns in America since it\xe2\x80\x99s creation. The thing that\xe2\x80\x99s changed is the breakdown of family and discipline. How ab\xe2\x80\xa6'
dummy,"b'@NotGayJared If you ever read comics hellblazer, hard times is outstanding'"
dummy,b'@plasmarob What makes you ask'
dummy,"b""@plasmarob No I never read it I'll definitely look into it though sounds like witty wisdom"""
dummy,"b""@plasmarob That's what I believe aswell, had a EE crawl up me one day for telling him I thought it wasn't necessary\xe2\x80\xa6 https://t.co/d3wK4Gxl8f"""
dummy,"b""@plasmarob Was you cs degree abet credited? I have roughly 12 clases to go, all cs classes. I think I'm coming into\xe2\x80\xa6 https://t.co/2NwweQcoho"""
dummy,"b""@plasmarob Pretty cool mate, I'm in school right now for computer science and yea your totally right about plasma,\xe2\x80\xa6 https://t.co/ufp5ALpxP6"""
dummy,b'@plasmarob Bro are you there?'
dummy,b'@plasmarob Hey plasmabear you ever think aang in the avatar state should be able to make plasma? I mean it is technically an element'
dummy,b'@plasmarob Pew pew life?'
